LoanID,Fraud,Loan Provider,Gender,OwnsCar,OwnsProperty,NumberOfChildren,AnnualIncome,TotalCredit,MonthlyPayments,SecurityDeposit,LatePaymentAmount,Occupation,Education,RiskLevel,MartialStatus,HouseType,NumberOfAccounts,CreditScore,CustomerAge,IncomeTaxDefault,NumberOfBankAccounts,ApplicationDay,HourOfDayApplied,ExperianRating
226470,0,Cash loans,F,0,1,0,117000.0,679500.0,32818.5,679500.0,78523,Working,Secondary / secondary special,HighRisk,Civil marriage,House / apartment,10,789,70,1,14,FRIDAY,10,722.2
396592,1,Cash loans,F,1,1,2,202500.0,444420.0,26986.5,337500.0,72348,Commercial associate,Higher education,Risk,Married,House / apartment,16,59,37,1,25,WEDNESDAY,8,138.2
222235,0,Cash loans,F,0,1,2,180000.0,269550.0,20988.0,225000.0,77828,Working,Secondary / secondary special,,Married,House / apartment,10,69,56,0,43,FRIDAY,9,146.2
363629,0,Cash loans,F,0,1,0,157500.0,808650.0,23773.5,675000.0,76753,Working,Secondary / secondary special,HighRisk,Separated,House / apartment,15,97,52,1,9,WEDNESDAY,15,168.6
325166,0,Cash loans,M,1,1,1,360000.0,679500.0,22585.5,679500.0,5364,Working,Higher education,Risk,Married,Office apartment,5,612,68,0,2,WEDNESDAY,12,580.6
175983,0,Cash loans,M,1,1,0,112500.0,463284.0,17595.0,382500.0,30372,Working,Secondary / secondary special,LowRisk,Married,House / apartment,16,7,45,0,36,FRIDAY,8,96.6
248661,0,Cash loans,F,0,1,1,157500.0,343800.0,16852.5,225000.0,49762,Commercial associate,Secondary / secondary special,,Married,House / apartment,22,372,48,0,11,THURSDAY,13,388.6
444273,0,Loans Now,F,0,1,1,90000.0,270000.0,13500.0,270000.0,30852,State servant,Secondary / secondary special,LowRisk,Married,House / apartment,8,785,46,1,37,THURSDAY,14,719.0
165052,0,Loans Now,F,1,1,0,274500.0,292500.0,14625.0,292500.0,50165,Pensioner,Lower secondary,,Married,House / apartment,9,184,46,1,19,FRIDAY,7,238.2
131040,0,Cash loans,F,0,1,2,225000.0,790830.0,57676.5,675000.0,46711,State servant,Secondary / secondary special,,Married,House / apartment,9,368,36,0,16,SUNDAY,14,385.4
259324,0,Cash loans,M,1,1,0,72000.0,900000.0,26446.5,900000.0,23715,Working,Secondary / secondary special,,Married,House / apartment,9,272,67,0,26,SATURDAY,9,308.6
194062,1,Cash loans,M,0,0,0,292500.0,1078200.0,31522.5,900000.0,67201,Commercial associate,Secondary / secondary special,Risk,Married,House / apartment,14,282,44,0,34,WEDNESDAY,18,316.6
397916,0,Cash loans,F,0,1,0,157500.0,472500.0,46863.0,472500.0,15176,Pensioner,Secondary / secondary special,,Separated,House / apartment,20,58,54,0,10,MONDAY,13,137.4
387744,0,Loans Now,F,0,1,0,216000.0,180000.0,9000.0,180000.0,7055,Working,Secondary / secondary special,,Married,House / apartment,7,278,46,0,26,SATURDAY,7,313.4
103659,0,Cash loans,F,1,1,0,300379.5,1271929.5,51934.5,1170000.0,58384,Commercial associate,Higher education,LowRisk,Single / not married,Rented apartment,16,472,67,0,31,WEDNESDAY,11,468.6
409875,0,Cash loans,M,0,0,0,180000.0,534204.0,50076.0,495000.0,22219,Working,Secondary / secondary special,,Married,House / apartment,9,647,64,0,19,WEDNESDAY,15,608.6
171711,1,Loans Now,M,0,1,0,135000.0,180000.0,9000.0,180000.0,72085,Working,Secondary / secondary special,HighRisk,Single / not married,House / apartment,10,271,36,1,37,MONDAY,12,307.8
223916,0,Cash loans,F,1,1,0,270000.0,1116000.0,44388.0,1116000.0,41223,Commercial associate,Secondary / secondary special,,Married,House / apartment,15,11,44,0,23,FRIDAY,18,99.8
240951,0,Cash loans,M,1,1,0,261000.0,755190.0,29947.5,675000.0,20582,Commercial associate,Higher education,,Married,House / apartment,5,230,35,0,12,FRIDAY,14,275.0
416284,0,Cash loans,M,0,1,1,315000.0,473760.0,53451.0,450000.0,1075,Working,Secondary / secondary special,,Married,With parents,12,269,44,1,24,SATURDAY,8,306.2
112504,0,Cash loans,M,1,1,0,153000.0,573628.5,27724.5,463500.0,35265,Working,Higher education,,Married,Municipal apartment,21,273,41,1,38,THURSDAY,13,309.4
389808,0,Cash loans,M,1,1,0,85500.0,112500.0,11088.0,112500.0,34444,Pensioner,Secondary / secondary special,LowRisk,Separated,House / apartment,19,266,57,0,7,TUESDAY,16,303.8
424328,0,Cash loans,F,0,1,0,67500.0,450000.0,53536.5,450000.0,18490,Pensioner,Secondary / secondary special,,Married,House / apartment,21,635,51,1,22,THURSDAY,10,599.0
445250,0,Loans Now,M,0,1,2,90000.0,180000.0,9000.0,,70272,Working,Secondary / secondary special,,Married,House / apartment,22,224,74,1,39,WEDNESDAY,9,270.2
102231,0,Cash loans,M,0,1,0,62100.0,50940.0,5535.0,45000.0,66421,Pensioner,Secondary / secondary special,,Single / not married,Office apartment,12,787,38,1,3,WEDNESDAY,12,720.6
110378,0,Cash loans,F,0,1,0,117000.0,848745.0,39460.5,675000.0,41098,Pensioner,Secondary / secondary special,LowRisk,Married,House / apartment,4,763,41,0,10,TUESDAY,15,701.4
433841,0,Cash loans,F,0,1,0,90000.0,1247121.0,40360.5,1089000.0,7069,Working,Secondary / secondary special,Risk,Married,House / apartment,15,661,75,0,16,TUESDAY,12,619.8
424301,0,Cash loans,M,0,1,1,324000.0,495000.0,16096.5,495000.0,76700,Commercial associate,Higher education,,Single / not married,House / apartment,5,193,53,0,43,SUNDAY,16,245.4
289773,0,Loans Now,F,0,1,0,90000.0,337500.0,16875.0,,13542,Commercial associate,Secondary / secondary special,,Married,House / apartment,8,564,74,0,23,SATURDAY,11,542.2
209042,0,Cash loans,F,0,1,0,126000.0,508495.5,22527.0,454500.0,13237,State servant,Secondary / secondary special,,Married,House / apartment,6,534,74,1,13,TUESDAY,12,518.2
367438,0,Cash loans,M,0,1,0,157500.0,900000.0,43429.5,900000.0,30325,Working,Secondary / secondary special,,Married,House / apartment,3,689,35,0,14,TUESDAY,7,642.2
245803,0,Cash loans,F,0,1,0,112500.0,728460.0,38938.5,675000.0,67604,Working,Secondary / secondary special,LowRisk,Separated,House / apartment,0,50,47,0,43,MONDAY,11,131.0
445583,0,Cash loans,F,0,1,0,135000.0,405000.0,19827.0,405000.0,21422,Commercial associate,Higher education,Risk,Widow,House / apartment,12,246,41,0,31,TUESDAY,9,287.8
129221,0,Cash loans,F,0,0,0,180000.0,1528200.0,53248.5,1350000.0,15272,Commercial associate,Secondary / secondary special,,Married,House / apartment,16,501,46,0,44,MONDAY,15,491.8
130914,0,Cash loans,F,0,0,0,90000.0,922500.0,26973.0,922500.0,57303,Working,Secondary / secondary special,,Married,House / apartment,13,376,72,0,6,TUESDAY,8,391.8
135680,0,Cash loans,F,0,1,0,112500.0,927000.0,27234.0,927000.0,23279,Working,Secondary / secondary special,LowRisk,Married,House / apartment,20,529,34,0,31,MONDAY,11,514.2
451821,0,Cash loans,F,0,1,1,135000.0,727785.0,23476.5,607500.0,17417,Commercial associate,Secondary / secondary special,,Civil marriage,House / apartment,12,367,53,0,35,SATURDAY,7,384.6
439893,1,Cash loans,F,1,1,2,162000.0,640080.0,31261.5,450000.0,54264,Working,Secondary / secondary special,HighRisk,Married,House / apartment,22,148,50,1,2,TUESDAY,11,209.4
391419,0,Cash loans,M,1,1,0,193500.0,728460.0,57685.5,675000.0,5014,Pensioner,Secondary / secondary special,LowRisk,Married,House / apartment,5,750,30,0,10,MONDAY,7,691.0
420321,0,Cash loans,M,0,0,0,225000.0,808650.0,26217.0,675000.0,51006,Working,Secondary / secondary special,LowRisk,Civil marriage,Rented apartment,5,351,39,1,8,TUESDAY,16,371.8
452331,0,Loans Now,F,0,1,1,76455.0,247500.0,12375.0,247500.0,28224,Commercial associate,Higher education,Risk,Married,House / apartment,2,402,43,0,2,THURSDAY,12,412.6
184638,0,Cash loans,F,0,0,0,90000.0,101880.0,10206.0,90000.0,47266,Working,Secondary / secondary special,HighRisk,Single / not married,House / apartment,0,508,71,0,35,WEDNESDAY,13,497.4
159285,0,Cash loans,F,0,0,0,94500.0,526491.0,17527.5,454500.0,81642,Pensioner,Secondary / secondary special,,Married,Municipal apartment,17,508,51,0,23,THURSDAY,9,497.4
154297,0,Cash loans,M,0,1,1,202500.0,1006920.0,40063.5,900000.0,44913,Working,Secondary / secondary special,Risk,Married,House / apartment,6,391,37,1,39,THURSDAY,15,403.8
141688,0,Cash loans,F,1,1,0,157500.0,855000.0,30420.0,855000.0,3948,Working,Secondary / secondary special,LowRisk,Married,House / apartment,5,248,37,0,25,MONDAY,14,289.4
205237,0,Cash loans,M,0,1,0,180000.0,436032.0,24475.5,360000.0,17763,State servant,Higher education,,Separated,House / apartment,13,690,75,0,44,TUESDAY,11,643.0
199118,0,Cash loans,M,1,0,0,121500.0,687600.0,18135.0,450000.0,60724,Commercial associate,Secondary / secondary special,,Married,House / apartment,20,372,69,1,30,FRIDAY,11,388.6
243095,0,Cash loans,F,0,1,1,112500.0,284400.0,17064.0,225000.0,18819,Working,Higher education,,Married,House / apartment,7,351,50,0,6,TUESDAY,17,371.8
111885,0,Cash loans,F,0,0,2,90000.0,963000.0,31194.0,963000.0,67907,Commercial associate,Secondary / secondary special,LowRisk,Married,House / apartment,15,409,51,1,29,FRIDAY,10,418.2
370955,0,Cash loans,F,0,0,0,67500.0,269550.0,12001.5,225000.0,22885,Working,Secondary / secondary special,,Married,House / apartment,18,265,50,0,42,THURSDAY,15,303.0
201697,0,Loans Now,F,0,1,1,112500.0,270000.0,13500.0,270000.0,4199,Working,Secondary / secondary special,Risk,Widow,House / apartment,13,476,69,0,5,THURSDAY,10,471.8
168545,0,Cash loans,F,1,0,0,108000.0,454500.0,21865.5,454500.0,25807,Working,Secondary / secondary special,HighRisk,Civil marriage,House / apartment,13,151,58,0,25,WEDNESDAY,16,211.8
154515,0,Cash loans,F,0,1,1,112500.0,675000.0,20538.0,675000.0,29895,State servant,Secondary / secondary special,LowRisk,Married,House / apartment,1,794,64,0,38,TUESDAY,17,726.2
220293,0,Loans Now,F,0,1,0,157500.0,270000.0,13500.0,270000.0,25662,Working,Incomplete higher,,Civil marriage,House / apartment,18,429,35,0,12,FRIDAY,14,434.2
